tensor_index,original_name,canonical_name,type,raw_montage_index,x_raw,y_raw,z_raw,x_m_template_fit,y_m_template_fit,z_m_template_fit,template_target_x_m,template_target_y_m,template_target_z_m,template_fit_residual_mm,template_name,coord_frame,coordinate_source,identity_source,reference,source_commit
0,FP1,FP1,eeg,0,-26133.013671875,80784.015625,-4001.08447265625,-0.02899508288829478,0.07378697452263679,-0.009635134664061903,-0.0294367,0.08391710000000001,-0.0069900000000000006,10.479084179998564,MNE colin27_1005,head,author montage.fif raw values; unit undeclared; metre columns are 10-05 template-fit approximation,official RGNN channels list (inferred tensor-axis contract),linked mastoids reported by paper; M1/M2 signals absent from 62-channel tensor,223f9baa307dc33831d7430bc4aeb3e38eb44fb4
1,FPZ,FPZ,eeg,1,0.0,84981.234375,-1786.0384521484375,0.0004801558433560842,0.07879214408241828,-0.007660992172221312,0.00011229999999999999,0.088247,-0.0017130000000000001,11.1762350201008,MNE colin27_1005,head,author montage.fif raw values; unit undeclared; metre columns are 10-05 template-fit approximation,official RGNN channels list (inferred tensor-axis contract),linked mastoids reported by paper; M1/M2 signals absent from 62-channel tensor,223f9baa307dc33831d7430bc4aeb3e38eb44fb4
2,FP2,FP2,eeg,2,26133.013671875,80784.015625,-4001.08447265625,0.029964820690669695,0.07390512614309065,-0.009784727958599629,0.029872299999999997,0.0848959,-0.00708,11.319064598364763,MNE colin27_1005,head,author montage.fif raw values; unit undeclared; metre columns are 10-05 template-fit approximation,official RGNN channels list (inferred tensor-axis contract),linked mastoids reported by paper; M1/M2 signals absent from 62-channel tensor,223f9baa307dc33831d7430bc4aeb3e38eb44fb4
3,AF3,AF3,eeg,3,-31482.796875,76152.765625,20846.8125,-0.03495277303979783,0.07117225361811026,0.01877415189290961,-0.0337007,0.0768371,0.021227,6.298780458458193,MNE colin27_1005,head,author montage.fif raw values; unit undeclared; metre columns are 10-05 template-fit approximation,official RGNN channels list (inferred tensor-axis contract),linked mastoids reported by paper; M1/M2 signals absent from 62-channel tensor,223f9baa307dc33831d7430bc4aeb3e38eb44fb4
4,AF4,AF4,eeg,4,31482.796875,76152.765625,20846.8125,0.03607702442071615,0.07131459248166065,0.018593934817109362,0.0357123,0.0777259,0.021956,7.24854263226663,MNE colin27_1005,head,author montage.fif raw values; unit undeclared; metre columns are 10-05 template-fit approximation,official RGNN channels list (inferred tensor-axis contract),linked mastoids reported by paper; M1/M2 signals absent from 62-channel tensor,223f9baa307dc33831d7430bc4aeb3e38eb44fb4
5,F7,F7,eeg,5,-68423.3359375,49871.37890625,-7489.5185546875,-0.0766330875823829,0.038604884307675315,-0.010198853689857625,-0.0702629,0.0424743,-0.01142,7.552672768333609,MNE colin27_1005,head,author montage.fif raw values; unit undeclared; metre columns are 10-05 template-fit approximation,official RGNN channels list (inferred tensor-axis contract),linked mastoids reported by paper; M1/M2 signals absent from 62-channel tensor,223f9baa307dc33831d7430bc4aeb3e38eb44fb4
6,F5,F5,eeg,6,-63058.22265625,54037.88671875,18126.42578125,-0.07052369990333818,0.0459765126437674,0.01812219077921414,-0.0644658,0.048035299999999996,0.016921,6.509962819027229,MNE colin27_1005,head,author montage.fif raw values; unit undeclared; metre columns are 10-05 template-fit approximation,official RGNN channels list (inferred tensor-axis contract),linked mastoids reported by paper; M1/M2 signals absent from 62-channel tensor,223f9baa307dc33831d7430bc4aeb3e38eb44fb4
7,F3,F3,eeg,7,-48200.42578125,57551.0625,39869.7109375,-0.0537144511281458,0.05223065899626339,0.04213457481911696,-0.0502438,0.0531112,0.042192,3.5810709800226896,MNE colin27_1005,head,author montage.fif raw values; unit undeclared; metre columns are 10-05 template-fit approximation,official RGNN channels list (inferred tensor-axis contract),linked mastoids reported by paper; M1/M2 signals absent from 62-channel tensor,223f9baa307dc33831d7430bc4aeb3e38eb44fb4
8,F1,F1,eeg,8,-26042.09375,59912.73046875,54380.82421875,-0.028685861368344664,0.056451379670994964,0.05812322623284693,-0.0274958,0.0569311,0.060342,2.563071338120283,MNE colin27_1005,head,author montage.fif raw values; unit undeclared; metre columns are 10-05 template-fit approximation,official RGNN channels list (inferred tensor-axis contract),linked mastoids reported by paper; M1/M2 signals absent from 62-channel tensor,223f9baa307dc33831d7430bc4aeb3e38eb44fb4
9,FZ,FZ,eeg,9,0.0,60738.48046875,59462.90234375,0.0007028660145232082,0.05796936744624942,0.06367058354533145,0.0003122,0.058512,0.06646200000000001,2.8703790423370403,MNE colin27_1005,head,author montage.fif raw values; unit undeclared; metre columns are 10-05 template-fit approximation,official RGNN channels list (inferred tensor-axis contract),linked mastoids reported by paper; M1/M2 signals absent from 62-channel tensor,223f9baa307dc33831d7430bc4aeb3e38eb44fb4
10,F2,F2,eeg,10,26025.4375,59874.4140625,54430.9765625,0.0300503529169397,0.05653129126047611,0.05803454089410792,0.029514199999999997,0.0576019,0.059539999999999996,1.923556638885697,MNE colin27_1005,head,author montage.fif raw values; unit undeclared; metre columns are 10-05 template-fit approximation,official RGNN channels list (inferred tensor-axis contract),linked mastoids reported by paper; M1/M2 signals absent from 62-channel tensor,223f9baa307dc33831d7430bc4aeb3e38eb44fb4
11,F4,F4,eeg,11,48142.59765625,57584.02734375,39891.984375,0.05496750537977111,0.052487806871075085,0.04188039618043144,0.0518362,0.0543048,0.040814,3.7740877342190413,MNE colin27_1005,head,author montage.fif raw values; unit undeclared; metre columns are 10-05 template-fit approximation,official RGNN channels list (inferred tensor-axis contract),linked mastoids reported by paper; M1/M2 signals absent from 62-channel tensor,223f9baa307dc33831d7430bc4aeb3e38eb44fb4
